Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2025-01-22,303,1021,217,11557,214
2025-01-23,301,930,242,11579,217
2025-01-24,295,990,200,11596,199
2025-01-25,337,979,266,11636,229
2025-01-26,324,1044,222,11644,204
2025-01-27,329,1004,250,11656,228
2025-01-28,339,964,246,11697,210
2025-01-29,306,1001,201,11649,245
2025-01-30,340,996,251,11692,214
2025-01-31,340,1002,249,11745,204
2025-02-01,337,1048,235,11745,237
2025-02-02,347,1037,265,11742,255
2025-02-03,416,1078,286,11803,225
2025-02-04,376,989,295,11844,254
2025-02-05,394,1044,304,11895,260
2025-02-06,373,1048,256,11906,255
2025-02-07,373,1068,269,11934,248
2025-02-08,395,998,295,11959,275
2025-02-09,420,1016,326,12012,269
2025-02-10,417,1030,299,12042,259
2025-02-11,416,1061,301,12090,255
2025-02-12,410,1048,304,12127,267
2025-02-13,402,1036,289,12162,246
2025-02-14,413,1045,321,12206,269
2025-02-15,428,1018,339,12267,269
2025-02-16,429,1061,303,12278,279
2025-02-17,434,1121,302,12297,278
2025-02-18,429,1088,337,12366,265
2025-02-19,408,1093,303,12404,273
2025-02-20,430,1084,328,12456,271
2025-02-21,402,1084,302,12452,300
2025-02-22,445,1126,303,12486,263
2025-02-23,406,1055,300,12519,258
2025-02-24,386,1108,274,12526,262
2025-02-25,389,1042,313,12585,247
2025-02-26,395,1096,300,12626,264
2025-02-27,407,1096,313,12698,244
2025-02-28,410,1040,314,12777,237
2025-03-01,401,1062,308,12841,254
2025-03-02,402,1097,311,12890,265
2025-03-03,406,1134,307,12928,261
2025-03-04,377,1034,305,12978,249
2025-03-05,406,1071,312,13027,270
2025-03-06,417,1121,293,13083,232
2025-03-07,379,1066,276,13107,242
2025-03-08,394,1094,298,13153,256
2025-03-09,401,1109,289,13211,238
2025-03-10,401,1097,299,13258,242
2025-03-11,406,1102,317,13327,256
2025-03-12,360,1048,276,13372,229
2025-03-13,418,1136,320,13443,251
2025-03-14,383,1113,271,13462,240
2025-03-15,413,1094,316,13538,244
2025-03-16,398,1095,312,13616,246
2025-03-17,421,1126,300,13650,259
2025-03-18,398,1122,297,13686,271
2025-03-19,426,1082,350,13780,254
2025-03-20,459,1124,347,13864,255
2025-03-21,423,1112,334,13921,270
2025-03-22,468,1104,351,14011,250
2025-03-23,424,1115,330,14053,281
2025-03-24,466,1146,332,14107,274
2025-03-25,464,1132,351,14177,288
2025-03-26,458,1118,357,14247,289
2025-03-27,433,1062,356,14324,277
2025-03-28,452,1075,368,14403,282
2025-03-29,487,1092,389,14507,295
2025-03-30,487,1152,359,14576,292
2025-03-31,484,1206,368,14629,316
2025-04-01,469,1109,342,14665,305
2025-04-02,494,1183,377,14758,290
2025-04-03,478,1109,375,14837,293
2025-04-04,507,1181,377,14923,293
2025-04-05,489,1172,363,14946,321
2025-04-06,506,1152,367,15046,276
2025-04-07,475,1160,366,15139,271
2025-04-08,454,1126,352,15207,295
2025-04-09,484,1117,390,15318,286
2025-04-10,491,1152,370,15381,307
2025-04-11,474,1204,350,15477,262
2025-04-12,445,1113,344,15545,287
2025-04-13,448,1124,358,15647,269
2025-04-14,461,1161,347,15713,277
2025-04-15,441,1080,364,15779,289
2025-04-16,421,1138,310,15811,266
2025-04-17,443,1219,301,15833,269
2025-04-18,385,1095,302,15864,274
2025-04-19,457,1073,376,15970,271
2025-04-20,413,1104,320,16043,259
2025-04-21,425,1165,309,16086,266
2025-04-22,414,1113,315,16143,253
2025-04-23,423,1125,309,16196,263
2025-04-24,434,1134,357,16308,244
2025-04-25,439,1112,352,16392,272
2025-04-26,427,1119,341,16495,250
2025-04-27,467,1130,375,16599,280
2025-04-28,468,1132,360,16716,245
2025-04-29,421,1109,310,16774,260
2025-04-30,470,1129,372,16888,251
2025-05-01,448,1160,335,16939,282
2025-05-02,456,1081,353,17002,293
2025-05-03,473,1147,360,17086,269
2025-05-04,445,1091,331,17136,275
2025-05-05,470,1162,357,17231,275
2025-05-06,451,1084,366,17339,262
2025-05-07,473,1126,366,17415,296
2025-05-08,463,1157,349,17492,266
2025-05-09,494,1124,394,17600,288
2025-05-10,475,1143,346,17640,310
2025-05-11,487,1153,379,17715,297
2025-05-12,502,1127,388,17807,297
2025-05-13,496,1151,365,17901,277
2025-05-14,481,1142,390,17988,314
2025-05-15,491,1057,386,18087,291
2025-05-16,472,1152,362,18178,269
2025-05-17,474,1125,350,18231,289
2025-05-18,458,1144,351,18274,294
2025-05-19,472,1137,352,18332,301
2025-05-20,510,1116,391,18420,302
2025-05-21,474,1081,395,18536,280
2025-05-22,455,1111,357,18595,292
2025-05-23,477,1158,354,18676,285
2025-05-24,445,1123,353,18744,285
2025-05-25,483,1085,393,18859,272
2025-05-26,445,1163,318,18920,260
2025-05-27,454,1118,337,19003,265
2025-05-28,435,1106,339,19055,288
2025-05-29,435,1099,334,19093,290
2025-05-30,433,1097,348,19187,262
2025-05-31,355,1074,254,19185,270
2025-06-01,415,1079,320,19236,263
2025-06-02,406,1071,329,19320,241
2025-06-03,400,1065,300,19361,259
2025-06-04,390,1032,279,19376,261
2025-06-05,364,1079,287,19412,250
2025-06-06,383,1048,313,19490,247
2025-06-07,396,1023,335,19576,257
2025-06-08,399,1073,305,19627,258
2025-06-09,382,1076,294,19639,271
2025-06-10,384,1073,293,19680,255
2025-06-11,350,1075,251,19673,269
2025-06-12,390,1083,294,19738,232
2025-06-13,413,1025,315,19794,255
2025-06-14,388,1098,294,19856,245
2025-06-15,366,1083,285,19890,252
2025-06-16,398,1066,293,19924,275
2025-06-17,410,1076,305,19960,267
2025-06-18,406,1041,311,20001,264
2025-06-19,397,1014,307,20031,278
2025-06-20,427,1048,316,20099,255
2025-06-21,378,1026,291,20125,262
2025-06-22,397,1059,298,20149,271
2025-06-23,414,1059,309,20176,268
2025-06-24,393,1046,291,20198,263
2025-06-25,392,1045,314,20213,302
2025-06-26,430,1047,331,20266,275
2025-06-27,370,1054,271,20265,269
2025-06-28,377,1047,288,20273,282
2025-06-29,451,1090,329,20302,295
2025-06-30,404,1035,297,20318,277
2025-07-01,404,1072,292,20313,291
2025-07-02,417,1060,301,20363,255
2025-07-03,384,1087,299,20357,299
2025-07-04,399,1035,285,20341,307
2025-07-05,390,1004,281,20348,269
2025-07-06,378,1007,290,20417,241
2025-07-07,360,928,278,20426,261
2025-07-08,358,982,284,20453,262
2025-07-09,366,972,275,20459,267
2025-07-10,380,1047,257,20471,246
2025-07-11,344,1009,267,20498,242
2025-07-12,376,1022,295,20531,256
2025-07-13,331,1055,226,20497,256
2025-07-14,307,941,249,20525,233
2025-07-15,316,993,237,20495,258
2025-07-16,343,1025,234,20478,248
2025-07-17,296,987,209,20429,253
2025-07-18,315,965,255,20458,234
2025-07-19,301,932,232,20453,226
2025-07-20,304,968,220,20455,226
2025-07-21,297,949,229,20460,221
2025-07-22,294,994,198,20438,223
2025-07-23,268,937,197,20408,217
2025-07-24,266,945,201,20376,226
2025-07-25,292,929,217,20374,216
2025-07-26,298,927,221,20396,220
2025-07-27,244,969,157,20351,216
2025-07-28,296,942,226,20327,234
2025-07-29,292,920,222,20308,251
2025-07-30,265,925,221,20307,228
2025-07-31,305,937,229,20310,220
2025-08-01,293,990,196,20284,232
2025-08-02,322,937,241,20299,230
2025-08-03,314,970,238,20324,217
2025-08-04,322,990,240,20322,232
2025-08-05,277,880,234,20312,240
2025-08-06,274,903,230,20301,248
2025-08-07,296,866,226,20277,254
2025-08-08,328,933,244,20286,232
2025-08-09,323,932,232,20261,253
2025-08-10,339,911,248,20270,251
2025-08-11,293,902,218,20243,243
2025-08-12,341,899,276,20261,243
2025-08-13,350,961,242,20274,235
2025-08-14,345,887,284,20299,254
2025-08-15,313,926,242,20270,256
2025-08-16,304,892,244,20299,237
2025-08-17,309,915,248,20280,263
2025-08-18,266,934,184,20226,247
2025-08-19,283,883,211,20229,213
2025-08-20,259,849,202,20173,257
2025-08-21,324,915,245,20170,236
2025-08-22,285,902,228,20165,230
2025-08-23,266,872,190,20142,213
2025-08-24,272,893,187,20102,230
2025-08-25,279,891,228,20108,223
2025-08-26,239,868,187,20077,235
2025-08-27,275,840,229,20098,209
2025-08-28,239,884,178,20070,205
2025-08-29,229,887,161,20000,220
2025-08-30,205,846,146,19927,205
2025-08-31,247,803,225,19942,209
2025-09-01,230,896,151,19919,180
2025-09-02,233,902,161,19872,200
2025-09-03,204,865,158,19834,206
2025-09-04,250,941,161,19808,197
2025-09-05,247,909,172,19777,198
2025-09-06,224,902,145,19751,179
2025-09-07,220,817,182,19726,207
2025-09-08,211,831,166,19702,197
2025-09-09,198,834,161,19698,160
2025-09-10,235,834,175,19704,164
2025-09-11,247,882,202,19702,199
2025-09-12,236,860,173,19693,180
2025-09-13,240,850,181,19671,188
2025-09-14,244,888,176,19648,196
2025-09-15,222,880,153,19602,194
2025-09-16,235,848,152,19554,195
2025-09-17,257,867,189,19549,201
2025-09-18,231,865,174,19526,196
2025-09-19,247,835,183,19506,199
2025-09-20,238,834,175,19482,202
2025-09-21,272,905,194,19466,208
2025-09-22,273,896,182,19432,220
2025-09-23,266,885,182,19411,200
2025-09-24,250,798,199,19365,228
2025-09-25,248,838,182,19296,249
2025-09-26,301,920,211,19276,231
2025-09-27,294,865,226,19296,201
2025-09-28,279,903,185,19276,205
2025-09-29,303,917,222,19273,234
2025-09-30,213,837,144,19191,221
2025-10-01,287,925,208,19186,210
2025-10-02,293,876,211,19176,214
2025-10-03,266,902,173,19127,218
2025-10-04,281,909,189,19120,185
2025-10-05,238,843,174,19069,218
2025-10-06,286,917,187,19036,214
2025-10-07,252,881,170,19008,193
2025-10-08,220,866,169,18985,191
2025-10-09,296,841,221,19021,179
2025-10-10,233,893,145,18975,178
2025-10-11,234,875,172,18971,177
2025-10-12,251,854,190,18982,183
2025-10-13,233,880,145,18942,194
2025-10-14,226,909,154,18909,180
2025-10-15,188,893,132,18857,193
2025-10-16,178,845,125,18803,170
2025-10-17,209,879,134,18731,202
2025-10-18,189,862,150,18704,180
2025-10-19,202,857,136,18683,162
2025-10-20,200,838,148,18659,180
2025-10-21,218,858,162,18644,170
2025-10-22,196,843,145,18611,182
2025-10-23,208,882,139,18573,172
2025-10-24,204,829,140,18541,175
2025-10-25,222,867,163,18528,167
2025-10-26,207,829,161,18525,159
2025-10-27,237,868,150,18518,170
2025-10-28,224,897,154,18475,181
2025-10-29,215,823,158,18453,174
2025-10-30,242,827,179,18412,208
2025-10-31,223,812,174,18417,176
2025-11-01,237,837,186,18417,193
2025-11-02,270,851,216,18457,188
2025-11-03,281,859,206,18466,185
2025-11-04,248,900,176,18438,184
2025-11-05,257,907,175,18395,208
2025-11-06,280,879,187,18376,207
2025-11-07,306,839,249,18403,218
2025-11-08,267,883,184,18410,186
2025-11-09,327,919,242,18428,211
2025-11-10,274,868,209,18436,207
2025-11-11,257,880,201,18437,201
2025-11-12,306,908,234,18476,199
2025-11-13,319,937,222,18470,225
2025-11-14,311,912,219,18468,222
2025-11-15,294,899,226,18489,209
2025-11-16,276,894,211,18477,227
2025-11-17,274,878,215,18516,189
2025-11-18,274,905,205,18512,197
2025-11-19,276,869,190,18509,205
2025-11-20,286,912,199,18491,220
2025-11-21,282,849,225,18515,202
2025-11-22,281,884,202,18514,189
2025-11-23,278,931,188,18524,187
2025-11-24,247,913,173,18501,188
2025-11-25,247,862,184,18502,183
2025-11-26,241,895,170,18468,203
2025-11-27,246,949,156,18447,187
2025-11-28,303,895,214,18490,186
2025-11-29,266,886,205,18486,189
2025-11-30,269,875,203,18513,183
2025-12-01,250,871,183,18529,165
2025-12-02,241,908,159,18489,199
2025-12-03,248,873,199,18510,168
2025-12-04,262,909,195,18540,179
2025-12-05,242,940,166,18540,171
2025-12-06,254,935,174,18530,185
2025-12-07,245,887,183,18526,184
2025-12-08,220,927,167,18499,180
2025-12-09,257,915,194,18520,175
2025-12-10,268,924,190,18563,147
2025-12-11,250,946,161,18544,194
2025-12-12,254,882,199,18556,191
2025-12-13,289,939,201,18535,212
2025-12-14,259,903,201,18547,190
2025-12-15,283,884,218,18553,194
2025-12-16,289,920,205,18547,218
2025-12-17,292,895,234,18592,195
2025-12-18,325,960,246,18644,194
2025-12-19,280,922,194,18639,209
2025-12-20,324,888,249,18687,205
2025-12-21,320,938,243,18709,227
2025-12-22,326,981,237,18693,245
2025-12-23,300,917,235,18706,219
2025-12-24,338,922,238,18713,211
2025-12-25,316,931,245,18750,216
2025-12-26,361,970,252,18750,237
2025-12-27,357,972,258,18792,219
2025-12-28,343,990,234,18803,228
2025-12-29,337,1014,227,18790,235
2025-12-30,349,985,266,18816,243
2025-12-31,365,961,282,18880,220
